x,y,z,yaw,name
41.83852,-16.159822,-0.2800744,-0.0763338,ChargeOut
42.040424,-2.4565096,-0.2638025,1.6052006,via-h2-00
42.082191,3.0155897,-0.1809712,-3.0645533,via-h2-01
36.154926,2.6156983,-0.1384768,-3.1348433,via-h2-02
34.300705,2.7086339,-0.1777384,1.561229,via30
34.243088,10.616323,-0.1258579,1.7033162,via31
32.109798,12.617201,-0.1564684,-3.0814624,via32-1nd
26.665117,12.349545,2.7962637,3.0966458,via33-2nd
26.537107,10.900642,2.7487476,-3.09058,via34-2nd
21.644037,10.609538,2.6555085,-2.1391246,via35-leaked07-crawl
21.644037,10.609538,2.6555085,-2.1391246,wet12-acoustic-leaked07
22.457432,8.415863,2.606952,0.4864836,wet12-acoustic-vibration08
22.455599,8.4121819,2.6001561,0.487141,wet12-visual-thermal12
22.504692,6.6777959,2.7594581,-0.4410889,via36-vibration09-crawl
22.504692,6.6777959,2.7594581,-0.4410889,wet12-acoustic-vibration09
22.498796,6.6726532,2.7707746,-0.4412816,via37-thermal13-crawl
22.498796,6.6726532,2.7707746,-0.4412816,wet12-visual-thermal13
22.089521,5.6248751,2.7588258,1.6634947,wet12-via-asset-2nd
21.931627,8.2061825,2.5905876,1.5601352,via38-asset02-crawl
21.931627,8.2061825,2.5905876,1.5601352,wet12-visual-asset02
21.723438,10.582487,2.6179409,-3.0199833,via39-down1-2nd
26.434387,10.82437,2.5982239,-1.4959636,via40-down2-2nd
26.597939,12.119016,2.6618476,-3.0703154,via41-down3-2nd
32.088779,12.566853,-0.102748,-3.080147,via42-down4-2nd
34.4,11.35,-0.102748,-1.4682677,via43
34.556435,2.6301529,-0.1115824,0.032559,via-2h-x0
42.169067,3.0902092,-0.1450856,-1.5989308,via-2h-x1
41.834301,-2.5242805,-0.270077,-1.5337039,via-2h-x2
42.1847,-13.5566,-0.3063831,-1.5708,via-2h-x3
41.83852,-16.159822,-0.2800744,-0.0763338,ChargeIn
