x,y,z,yaw,name
-16.158087,61.640396,0.3764079,-0.0035389,via175-before2nd
-9.1036692,61.894161,3.3290496,0.0011854,via176-2nd
-8.6252041,61.931019,3.3207793,-1.5883256,via177
-8.7491302,60.7444,3.3195457,-2.3929813,via178
-10.363839,59.526821,3.3003087,-2.3962128,via179
-12.330668441890552,59.718729801071504,0.0,-3.1247,via180
-12.220861,58.231701,3.3166652,-1.5462283,dry1-2-leaked-02
-12.216814,58.229397,3.3109088,-1.5463012,dry1-2-gauge-05
-12.216644,58.235168,3.3000369,-1.5456566,dry1-2-gauge-06
-13.311036,54.438293,3.2919345,-1.0198932,dry1-2-leaked-03
-13.285469,54.581829,3.2930079,-1.5520259,dry1-2-thermal-02
-14.434718,53.356819,3.2895713,-2.1218197,dry1-2-thermal-03
-14.437358,53.349506,3.2937207,-2.1227112,dry1-2-thermal-04
-13.419165,54.167007,3.2917643,1.4951713,via181
-13.546844,57.792801,3.3135209,0.5654235,via182
-10.427994,59.09499,3.2951725,1.5729706,dry1-2-thermal-05
-10.363129,56.047226,3.3114233,1.6066539,dry1-2-thermal-06
-10.242927,53.462067,3.2771239,1.6639173,dry1-2-thermal-07
-10.233282,53.466976,3.2690921,1.6597325,dry1-2-loto-07
-10.656166,59.447514,3.2677872,-2.7252283,via183
-8.9233475,60.435005,3.3151855,-1.8598931,via184
-9.0311089,61.562763,3.2967606,-0.8303546,via185
-9.957777,61.862873,3.2870538,0.0271908,via186-before-1st
-16.20882,61.776878,0.3804214,0.0086832,via187-after
-21.9204,61.1164,0.4518,-3.0751,via188
-26.8337,60.791,0.5015,-3.114,via189
-28.775692775758785,62.61524742288759,0.4906,-3.1185,via190
-35.71238718353759,62.207206575371174,0.5301,3.1388,via191
-36.364994648775216,59.195244272889,0.0,-1.5487,via192
-36.5531,55.939,0.0,-0.6098,via193
-34.735741,54.160336,0.4676563,1.6130042,via194-before-2nd(dry3)
-34.944298,59.760288,3.0894847,1.5950507,via195-2nd-transition
-36.676994,59.774151,3.1052082,-1.5159863,via196-2nd-transition1
-36.546944,56.273907,4.47541,-1.5123143,via197-2nd
-35.529976,54.976807,4.3653917,-0.6867057,dry3-vibration-42
-36.14473,55.429691,4.358923,2.4683964,dry3-thermal-48
-38.459877,54.92905,4.3547921,-1.5005457,via198-2nd
-38.29467,54.808205,4.381475,2.6798325,dry3-thermal-49
-37.516766,54.46109,4.3728871,0.1054702,dry3-vibration-43
-38.863449,51.789371,4.3424644,-1.0064894,dry3-vibration-44
-38.901466,51.850418,4.3364697,-0.8800672,dry3-thermal-50
-39.216911,51.746616,4.3392076,1.659428,dry3-thermal-51
-39.216145,51.741528,4.3499899,1.6642175,dry3-thermal-52
-39.334808,50.891891,4.5100203,-2.1075721,dry3-vibration-45
-39.142838,51.889999,4.5051541,0.0960754,dry3-gauge-08
-39.022758,51.979244,4.3662233,-3.1284423,dry3-leaked-39
-39.12674,52.024399,4.5090895,2.5417762,dry3-vibration-46
-39.273689,54.107525,4.5324736,2.3979592,dry3-vibration-47
-41.048157,53.850533,4.5376487,2.2067599,dry3-vibration-48
-41.04554,53.853676,4.5399475,2.2068419,dry3-leaked-40
-40.614494,53.925358,4.5289197,-1.9812793,dry3-gauge-09
-41.996204,53.905975,4.5364213,2.3383837,dry3-vibration-49
-41.996822,53.900513,4.5369649,2.33676,dry3-leaked-41
-41.371674,53.649372,4.5133896,-2.0988336,dry3-vibration-50
-41.374126,53.645809,4.5118313,-2.0991929,dry3-leaked-42
-42.944447,53.402298,4.3763528,3.1225395,dry3-leaked-43-low
-42.591084,53.39819,4.3720894,0.0782619,dry3-gauge-10
-43.085979,53.808681,4.5621991,-1.3233887,dry3-vibration-51
-43.080101,53.810493,4.5602703,-1.324754,dry3-leaked-44
-42.35231,51.094658,4.528677,-1.0756791,dry3-leaked-45
-42.345432,51.096821,4.5175896,-1.0753357,dry3-vibration-52
-42.331631,51.328278,4.5254173,-1.8363669,dry3-vibration-53
-42.339859,51.331875,4.5201302,-1.836728,dry3-leaked-46
-42.489017,51.600395,4.5227132,1.6382043,dry3-thermal-53
-42.477444,51.611519,4.5155377,1.6381605,dry3-thermal-54
-42.484753,51.594631,4.3630199,1.6344683,dry3-loto-14
-42.483471,51.588844,4.3725753,1.6332363,dry3-loto-15
-42.655373,54.208084,4.560442,1.6356616,dry3-thermal-55
-42.649078,54.202988,4.5552087,1.6291859,dry3-thermal-56
-43.036999,53.898777,4.5483494,2.4541659,dry3-leaked-47
-43.041927,53.898346,4.557559,2.4532197,dry3-vibration-54
-42.739819,53.296947,4.5449581,-2.5506966,dry3-vibration-55
-42.739246,53.284676,4.5427136,-2.5523317,dry3-leaked-48
-42.876186,53.127033,4.5320463,0.5471354,dry3-thermal-57
-44.243824,54.719635,4.5723362,-3.0471044,dry3-vibration-56
-44.24485,54.718513,4.5670729,-3.0473244,dry3-leaked-49
-46.941753,53.237637,4.605196,2.3929727,dry3-vibration-57-mi26
-46.873993,53.173729,4.5935216,2.3970649,dry3-leaked-50-mi26
-47.726795,53.363754,4.4384842,-3.042815,dry3-leaked-51-low
-47.681644,53.178123,4.5974703,0.0507814,dry3-gauge-11
-47.535038,53.082767,4.5846281,-0.6870793,dry3-vibration-58-mi47
-47.528534,53.087166,4.5942659,-0.6887695,dry3-leaked-52-mi47
-46.939335,52.999737,4.5836091,-2.1046314,dry3-leaked-53-mi25
-46.93821,52.991596,4.5846715,-2.1049864,dry3-vibration-59-mi25
-47.849545,52.632011,4.5915675,-2.2264271,dry3-vibration-60-mi27
-47.84919,52.628338,4.5915065,-2.2279515,dry3-leaked-54-mi27
-46.605869,51.047493,4.5484805,0.4926144,dry3-leaked-55-mi45
-46.596066,51.052284,4.5651894,0.4921823,dry3-vibration-61-mi45
-46.494358,51.03698,4.4162507,-0.2128926,dry3-leaked-56
-46.515659,51.039494,4.4104471,-0.215294,dry3-gauge-12
-46.431698,50.992477,4.5742121,-0.7338772,dry3-leaked-57-mi23
-46.431473,51.007362,4.5704622,-0.7349413,dry3-vibration-62-mi23
-46.494076,50.954533,4.5599294,-0.7083389,dry3-thermal-58-mi25
-46.468929,50.937454,4.5617709,-1.4794359,dry3-vibration-63-mi24
-46.461597,51.017242,4.5724492,-1.4733275,dry3-leaked-58-mi24
-46.985344,50.844398,4.5743628,-1.8877653,dry3-leaked-59-mi31
-46.995304,50.842037,4.5708613,-1.8872415,dry3-vibration-64-mi31
-47.507912,50.549873,4.5582657,-2.3943262,dry3-vibration-65-mi32
-47.502987,50.558949,4.5625114,-2.3941107,dry3-leaked-60-mi32
-47.732868,50.738705,4.4174838,-3.0410028,dry3-leaked-61-low
-47.740055,50.732609,4.3906856,-3.0414207,dry3-gauge-13
-47.033817,51.050121,4.554019,2.2663624,dry3-thermal-59-mi23
-47.028065,51.055958,4.5716996,2.2618716,dry3-thermal-60-mi24
-47.394924,50.798313,4.5696216,1.1036984,dry3-thermal-61-mi32
-47.420414,51.170677,4.5779495,1.5345891,dry3-thermal-62-mi31
-36.579483,55.709431,4.5104947,-1.542261,via199-2nd-down-0
-36.729706,59.665062,3.0927095,-1.5455841,via200-2nd-down-1
-35.062099,59.85318,3.116292,3.126163,via201-2nd-down-2
-35.014763,59.781391,3.0904181,1.6771915,via202-2nd-down-3
-34.75523,54.268227,0.4608353,1.6440654,via203-2nd-down-4
-36.6165,55.3783,0.5443,2.6301,via204
-36.540958,59.614529,0.5078825,1.6401079,via205-h
-34.577422069390515,62.33087507965445,0.0,-0.01516839173735189,via206
-28.72975834205633,62.605283145156534,0.0,0.0167,via207
-26.8365,60.7499,0.0,0.031,via208
-16.632,61.3558,0.0,1.1903,via209
