x,y,z,yaw,name
0.3960564,-0.2251125,0.0,-1.7912004,point_0
2.917264,0.6335593,0.0,-1.5161631,point_1
1.4556946,2.7528355,0.0,-1.8773637,point_2
1.5835818,2.350904,0.0,-1.7142485,point_3
