x,y,z,yaw,name
-0.3462549,1.4994409,-0.3544827,-1.4682677,
-0.3580678,1.5119383,-0.3508418,-1.4677093,
11.979921,14.752563,0.1314536,1.1148465,wet12_acoustic_vibration07
11.966109,14.755215,0.1422404,1.1200296,wet12_visual_thermal03
32.109798,12.617201,-0.1564684,-3.0814624,wet12_via_1nd
26.665117,12.349545,2.7962637,3.0966458,wet12_via_2nd
26.537107,10.900642,2.7487476,-3.09058,wet12_via1_2nd
21.644037,10.609538,2.6555085,-2.1391246,wet12_acoustic_leaked07_2nd
22.457432,8.415863,2.606952,0.4864836,wet12_acoustic_vibration08_2nd
22.455599,8.4121819,2.6001561,0.487141,wet12_visual_thermal04_2nd
22.504692,6.6777959,2.7594581,-0.4410889,wet12_acoustic_vibration09_2nd
22.498796,6.6726532,2.7707746,-0.4412816,wet12_visual_thermal05_2nd
22.089521,5.6248751,2.7588258,1.6634947,wet12_via_asset_2nd
21.931627,8.2061825,2.5905876,1.5601352,wet12_visual_asset02_2nd
21.723438,10.582487,2.6179409,-3.0199833,wet12_via_down1_2nd
26.434387,10.82437,2.5982239,-1.4959636,wet12_via_down2_2nd
26.597939,12.119016,2.6618476,-3.0703154,wet12_via_down3_2nd
32.088779,12.566853,-0.102748,-3.080147,wet12_via_down4_2nd
4.449935,17.619125,0.3482006,-3.0375137,wet3_visual_asset03
4.4464355,17.607769,0.3359734,-3.0477862,wet3_visual_asset04
6.148859,17.910826,0.3093556,1.5389619,wet3_via
5.7825189,22.337084,0.3178575,2.0745399,wet3_via1
4.9305201,23.945734,0.34688,1.4620879,wet3_via2
4.8850589,24.011314,0.2044623,-1.5723331,wet3_acoustic_low_vibration10
4.9082274,25.04578,0.1940839,1.616161,wet3_visual_thermal06
2.9150643,28.176798,0.2577277,3.1412046,wet3_visual_asset05
4.7534337,28.230288,0.2605198,1.5279227,wet3_via3
3.5683832,30.602427,0.2988758,-3.0753183,wet3_visual_asset06
2.3923049,30.602251,0.4574344,-2.4024913,wet3_acostic_vibration11
-1.4553343,30.464483,0.3137213,2.90205,wet3_visual_thermal04
-2.0628943,30.503517,0.4611766,0.6106698,wet3_acoustic_vibration12
-2.0675142,30.502563,0.4622208,0.6132057,wet3_visual_thermal08
-2.2143152,30.062935,0.424179,-0.4307069,wet3_visual_thermal09
-3.4026756,30.314159,0.4576479,-2.3766174,wet3_acoustic_vibration13
-3.4234641,30.270422,0.4657915,-2.3791647,wet3_visual_thermal10
-4.5855026,30.247406,0.3328584,1.5945193,wet3_acoustic_low_vibration14
-4.5869765,30.241035,0.3347298,1.5959737,wet3_visual_thermal11
-2.5821216,31.191517,0.3101618,0.7656489,wet3_acoustic_leaked08
-3.0288084,33.182327,0.2880537,2.890955,wet3_acoustic_leaked09
-2.8702424,33.359177,0.2985974,0.4842088,wet3_visual_thermal13
-2.5227215,33.538387,0.2960793,-2.5542173,wet3_acoustic_leaked10
