x,y,z,yaw,name,ds,distance
41.8443,-16.1638,-0.2801,-0.0763,ChargeOut,0,0
42.040424,-2.4565096,-0.2638025,1.6052006,via-h2-00,13.7086933999309,13.7086933999309
42.071,2.8857,-0.181,-3.0646,via-h2-01,5.34229709976038,19.0509904996912
35.3729131469547,2.60794495661281,-0.1384768,-3.1348433,via-h2-02,6.70384332715688,25.7548338268481
-14.0123,0.3758,0.2255958,1.5851729,via-84,49.4356323786545,75.1904662055027
-14.767163,21.561161,0.5049494,0.25745,via-85,21.1988051278625,96.3892713333652
-9.5533056,22.677908,0.4577811,1.6254547,via-86,5.33211335677926,101.721384690144
-9.86276,25.107012,0.432479,2.4641094,via-87,2.4487360552937,104.170120745438
-18.4665,26.5342,0.5575209,1.5544144,via-88,8.72130767574129,112.891428421179
-18.5123,31.4366,0.5907702,0.7118617,via-89,4.90261393544301,117.794042356622
-10.862,35.533825,0.5333738,1.468215,via-90,8.67838365080877,126.472426007431
-10.053919,42.30043,0.5778924,1.6486552,via-91-shuttle01-open,6.81468547539694,133.287111482828
-10.403989,45.437153,0.6244386,1.6041919,via-92-shuttle01-close,3.15619710785449,136.443308590683
-8.0908022,48.893063,0.6138956,0.0782789574298817,via-93,4.15862322166774,140.60193181235
2.9392517,49.508862,0.5460632,1.4734558,via-94,11.0472303065206,151.649162118871
2.9783154,56.953354,0.4911753,1.5904567,via-95-shuttle02-open,7.44459448934068,159.093756608212
2.6510377,60.726715,0.4996813,1.5877907,via-96-shuttle02-close,3.78752741630187,162.881284024514
1.9946015,70.897369,0.5314655,-3.1017516,via-97-shuttle03-open,10.1918158967078,173.073099921221
-4.391118,70.903801,0.4062418,-3.1358483,via-98-shuttle03-close,6.38572273930714,179.458822660528
-4.0940075,68.838539,0.3927332,-1.4641359,via-99,2.08652385029605,181.545346510825
-3.9819322,63.452221,0.3635726,3.134217,via-100,5.38748387190106,186.932830382726
-10.548726,63.189972,0.3637781,-3.1354418,via-101,6.5720282523525,193.504858635078
-16.195604,63.071499,0.3743068,-1.5140579,via-102,5.64812066076965,199.152979295848
-16.038097,55.922745,0.3919586,-1.513927,via-116,7.15048894884574,206.303468244693
-15.9657,53.4563,0.3949,-1.509,via-117,2.46750729758475,208.770975542278
-14.958688,52.927303,0.41081,-2.4286108,thermal-37,1.13750208534006,209.908477627618
-13.686208,54.482033,0.3963146,-2.2776961,leakage-14,2.00907708246846,211.917554710087
