x,y,z,yaw,name,d,distance
10.6654,-183.9962,0,1.6284,ChargeOut-final,0,0
10.1018,-177.5203,0,1.5431,via-c2-00,6.50037889434146,6.50037889434146
10.4051,-174.1164,0,1.1989,via-c2-01,3.4173858576403,9.91776475198177
11.5141,-171.1166,0,1.5431,via-c2-02,3.19823092349504,13.1159956754768
11.0289,-143.3289,0,1.5431,via-c2-02.1,27.7919357067837,40.9079313822605
10.3161,-127.819,0,1.5431,via-c2-02.2,15.5262707000104,56.4342020822709
9.3095,-111.6838,0,1.6707,via-c2-03,16.1665680526202,72.6007701348911
8.6727,-105.9162,0,-3.0376,via-c2-04,5.80264801620777,78.4034181510989
-6.0117,-105.6715,0,2.274,via-c2-05,14.6864386918681,93.0898568429669
-7.0457,-104.2334,0,1.6279,via-c2-06,1.77123900420016,94.8610958471671
-7.5113,-92.5256,0,1.5779,via-c2-07,11.7170544165332,106.5781502637
-8.0443,-69.5611,0,1.576,via-c2-08,22.9706845620674,129.548834825768
-7.7571,-66.1873,0,0.92585,via-c2-09,3.38600210868216,132.93483693445
-6.7455,-64.3882,0,1.521,via-c2-10,2.06399984738371,134.998836781834
-6.5774,-62.136,0,0.0636,via-c2-11,2.25846462225999,137.257301404094
4.7218785,-61.335865,-0.289195,1.6388679,via-c2-12,11.3275730250918,148.584874429185
3.9580486,-35.965324,-0.2599079,-0.0124053,via-c2-13,25.3820366942611,173.966911123446
6.7476573,-35.888309,-0.3058234,1.6204572,via-c2-14,2.79067160542775,176.757582728874
5.6849623,0.8517954,-0.0915584,1.6388679,via-c2-15,36.7554702321426,213.513052961017
-14.0123,0.3758,0.2255958,1.5851729,via-84,19.7030128085992,233.216065769616
-14.767163,21.561161,0.5049494,0.25745,via-85,21.1988051278625,254.414870897478
-9.5533056,22.677908,0.4577811,1.6254547,via-86,5.33211335677926,259.746984254258
-9.86276,25.107012,0.432479,2.4641094,via-87,2.4487360552937,262.195720309551
-18.4665,26.5342,0.5575209,1.5544144,via-88,8.72130767574129,270.917027985293
-18.5123,31.4366,0.5907702,0.7118617,via-89,4.90261393544301,275.819641920736
-10.862,35.533825,0.5333738,1.468215,via-90,8.67838365080877,284.498025571544
-10.053919,42.30043,0.5778924,1.6486552,via-91-shuttle01-open,6.81468547539694,291.312711046941
-10.403989,45.437153,0.6244386,1.6041919,via-92-shuttle01-close,3.15619710785449,294.468908154796
-8.0908022,48.893063,0.6138956,0.0782789574298817,via-93,4.15862322166774,298.627531376464
2.9392517,49.508862,0.5460632,1.4734558,via-94,11.0472303065206,309.674761682984
2.9783154,56.953354,0.4911753,1.5904567,via-95-shuttle02-open,7.44459448934068,317.119356172325
2.6510377,60.726715,0.4996813,1.5877907,via-96-shuttle02-close,3.78752741630187,320.906883588627
1.9946015,70.897369,0.5314655,-3.1017516,via-97-shuttle03-open,10.1918158967078,331.098699485335
-4.391118,70.903801,0.4062418,-3.1358483,via-98-shuttle03-close,6.38572273930714,337.484422224642
-4.0940075,68.838539,0.3927332,-1.4641359,via-99,2.08652385029605,339.570946074938
-3.9819322,63.452221,0.3635726,3.134217,via-100,5.38748387190106,344.958429946839
-10.548726,63.189972,0.3637781,-3.1354418,via-101,6.5720282523525,351.530458199191
